Title,Author
1984,George Orwell
The Great Gatsby,F. Scott Fitzgerald
Animal Farm,George Orwell
The Book Thief,Markus Zusak
How to Lie with Statistics,Darrell Huff
All The King's Men,Robert Penn Warren
Crazy Rich Asians,Kevin Kwan
One Hundred Years of Solitude,Gabriel Garcia Marquez
"Will Grayson, Will Grayson","John Green, David Levithan"
How To: Absurd Scientific Advice for Common Real World Problems,Randall Munroe
East of Eden,John Steinbeck
An Absolutely Remarkable Thing,Hank Green
The Testaments,Margaret Atwood
The Color Purple,Alice Walker
